Ticker,Tag,Gap%,Price,Status,Action,AI_Prob,ATR%
BROS,,-0.0003267105570778432,61.2,⚪ Flat,-,-,0.034456185835776316
SHOP,,-0.000434871219309627,160.9,⚪ Flat,-,-,0.035560393433852686
MSFT,,-0.0005187856575837021,483.3691,⚪ Flat,-,-,0.014767005983981845
TTD,,-0.0005268462843783115,37.94,⚪ Flat,-,-,0.03081009477786312
SPOT,,-0.0006516539380029648,580.3316,⚪ Flat,-,-,0.02665619001637183
AMD,[HOLD],-0.000688754480701775,214.0125,⚪ Flat,-,-,0.03857987616544389
CEG,,-0.000764256863215817,353.0,⚪ Flat,-,-,0.04030677311190752
UNH,,-0.001120794183697478,329.74,⚪ Flat,-,-,0.022258435223987155
ON,,-0.0011837769911838155,54.0859,⚪ Flat,-,-,0.029445477767621332
ADBE,,-0.0012000064175942727,349.57,⚪ Flat,-,-,0.022241766750604314
SNOW,,-0.0012308561706797234,219.09,⚪ Flat,-,-,0.03268506563599131
UBER,,-0.0013462132628216496,81.6,⚪ Flat,-,-,0.025826769300477198
ACHR,,-0.0013696783181700286,7.5097,⚪ Flat,-,-,0.06087257269244477
DDOG,,-0.0013972018934406347,135.8,⚪ Flat,-,-,0.030176872738636555
SOFI,[HOLD],-0.0015278955198435437,26.14,⚪ Flat,-,-,0.04383489559475852
NET,,-0.0015723758867937732,196.84,⚪ Flat,-,-,0.032327301955533884
UPST,,-0.001600721311893062,43.66,⚪ Flat,-,-,0.05330553556075158
CAVA,[HOLD],-0.0020718798697270655,58.5684,⚪ Flat,-,-,0.038339486331711026
NVO,,-0.0021541089979244406,50.7704,⚪ Flat,-,-,0.029371273293382846
DOCN,,-0.0022859296410308373,48.01,⚪ Flat,-,-,0.04078816225589584
U,,-0.002716734750278588,44.05,⚪ Flat,-,-,0.04637925557647831
ONDS,[HOLD],-0.003299203701506958,9.7278,⚪ Flat,-,39%,0.10063265906804504
CIFR,,-0.0033875493297077625,14.71,⚪ Flat,-,58%,0.10203109497729014
APP,,-0.003495603126378216,671.4646,⚪ Flat,-,52%,0.044469973187858114
SOUN,,-0.004012062784099552,9.93,⚪ Flat,-,84%,0.06502457267708737
NVTS,[HOLD],-0.004215667653844313,7.1099,⚪ Flat,-,75%,0.08468955640287007
HIMS,,-0.0046196863278059495,32.32,⚪ Flat,-,83%,0.054826109227356694
MP,[HOLD],-0.0049485442497704864,50.27,⚪ Flat,-,77%,0.06126650443933875
HOOD,,-0.005039774374988312,112.53,🟡 GAP DOWN,HOLD,72%,0.052882883904729755
BE,,-0.005063866874659612,86.45,🟡 GAP DOWN,HOLD,61%,0.1012462728353034
KTOS,,-0.005269445959848273,75.51,🟡 GAP DOWN,HOLD,53%,0.04987936956873956
DUOL,[HOLD],-0.005356125356125343,174.56,🟡 GAP DOWN,HOLD,85%,0.04797294807980824
OSCR,,-0.005567145873082266,14.29,🟡 GAP DOWN,HOLD,79%,0.05426839971402453
UUUU,[HOLD],-0.0061898185755949724,14.45,🟡 GAP DOWN,HOLD,51%,0.07857394662512598
ORCL,,-0.006975032766743844,193.5505,🟡 GAP DOWN,HOLD,80%,0.04363913680225745
FUBO,,-0.007936500427734288,2.5,🟡 GAP DOWN,HOLD,84%,0.052371123791183534
LTBR,,-0.010134520557226401,12.5119,🟡 GAP DOWN,HOLD,82%,0.09357576843587631
LEU,[HOLD],-0.011369231213086958,240.0,🟡 GAP DOWN,HOLD,63%,0.08074319754265344
WWR,[HOLD],-0.013333333333333345,0.74,🟡 GAP DOWN,HOLD,74%,0.12201438201807356
