Ticker,Tag,Gap%,Price,Status,Action,Sell%,Mom%,Dip%,ATR%
UPST,,-0.001600721311893062,43.66,⚪ Flat,-,64%,42%,68%,0.05330553556075158
CAVA,[HOLD],-0.0020718798697270655,58.5684,⚪ Flat,-,37%,71%,60%,0.038339486331711026
NVO,,-0.0021541089979244406,50.7704,⚪ Flat,-,40%,59%,55%,0.029371273293382846
DOCN,,-0.0022859296410308373,48.01,⚪ Flat,-,37%,61%,58%,0.04078816225589584
U,,-0.002716734750278588,44.05,⚪ Flat,-,55%,51%,64%,0.04637925557647831
ONDS,[HOLD],-0.003299203701506958,9.7278,⚪ Flat,-,39%,72%,64%,0.10063265906804504
CIFR,,-0.0033875493297077625,14.71,⚪ Flat,-,58%,42%,68%,0.10203109497729014
APP,,-0.003495603126378216,671.4646,⚪ Flat,-,52%,50%,65%,0.044469973187858114
SOUN,,-0.004012062784099552,9.93,⚪ Flat,-,84%,18%,71%,0.06502457267708737
NVTS,[HOLD],-0.004215667653844313,7.1099,⚪ Flat,-,75%,27%,71%,0.08468955640287007
HIMS,,-0.0046196863278059495,32.32,⚪ Flat,-,83%,20%,70%,0.054826109227356694
MP,[HOLD],-0.0049485442497704864,50.27,⚪ Flat,-,77%,28%,71%,0.06126650443933875
HOOD,,-0.005039774374988312,112.53,🟡 GAP DOWN,HOLD,72%,27%,69%,0.052882883904729755
BE,,-0.005063866874659612,86.45,🟡 GAP DOWN,HOLD,61%,38%,70%,0.1012462728353034
KTOS,,-0.005269445959848273,75.51,🟡 GAP DOWN,HOLD,53%,52%,62%,0.04987936956873956
DUOL,[HOLD],-0.005356125356125343,174.56,🟡 GAP DOWN,HOLD,85%,21%,71%,0.04797294807980824
OSCR,,-0.005567145873082266,14.29,🟡 GAP DOWN,HOLD,79%,27%,72%,0.05426839971402453
UUUU,[HOLD],-0.0061898185755949724,14.45,🟡 GAP DOWN,HOLD,51%,51%,68%,0.07857394662512598
ORCL,,-0.006975032766743844,193.5505,🟡 GAP DOWN,HOLD,80%,26%,65%,0.04363913680225745
FUBO,,-0.007936500427734288,2.5,🟡 GAP DOWN,HOLD,84%,18%,70%,0.052371123791183534
LTBR,,-0.010134520557226401,12.5119,🟡 GAP DOWN,HOLD,82%,22%,72%,0.09357576843587631
LEU,[HOLD],-0.011369231213086958,240.0,🟡 GAP DOWN,HOLD,63%,43%,67%,0.08074319754265344
WWR,[HOLD],-0.013333333333333345,0.74,🟡 GAP DOWN,HOLD,74%,35%,67%,0.12201438201807356
