Ticker,Latest_Date,Close,ER_5day,Status,Action
FI,2026-01-08,69.5,0.4168,✅ PASS,Trade Gaps
ADBE,2026-01-08,339.04,0.4226,✅ PASS,Trade Gaps
SPOT,2026-01-08,553.68,0.4236,✅ PASS,Trade Gaps
TSM,2026-01-08,318.01,0.4284,✅ PASS,Trade Gaps
NET,2026-01-08,186.96,0.4287,✅ PASS,Trade Gaps
QBTS,2026-01-08,29.28,0.4402,✅ PASS,Trade Gaps
IREN,2026-01-08,45.68,0.4615,✅ PASS,Trade Gaps
U,2026-01-08,45.28,0.4684,✅ PASS,Trade Gaps
APP,2026-01-08,616.53,0.4862,✅ PASS,Trade Gaps
COIN,2026-01-08,245.59,0.5104,✅ PASS,Trade Gaps
MU,2026-01-08,327.02,0.5139,✅ PASS,Trade Gaps
AMC,2026-01-08,1.45,0.5238,✅ PASS,Trade Gaps
MSTR,2026-01-08,166.97,0.5266,✅ PASS,Trade Gaps
UNH,2026-01-08,346.85,0.5352,✅ PASS,Trade Gaps
CEG,2026-01-08,322.54,0.5421,✅ PASS,Trade Gaps
ABAT,2026-01-08,4.53,0.5535,✅ PASS,Trade Gaps
ORCL,2026-01-08,189.65,0.573,✅ PASS,Trade Gaps
UBER,2026-01-08,87.59,0.581,✅ PASS,Trade Gaps
DOCN,2026-01-08,52.47,0.5855,✅ PASS,Trade Gaps
MARA,2026-01-08,10.44,0.5887,✅ PASS,Trade Gaps
ACHR,2026-01-08,8.71,0.598,✅ PASS,Trade Gaps
VOO,2026-01-08,634.06,0.6171,🛑 BLOCK,SKIP (Too Trendy)
SPY,2026-01-08,689.51,0.6226,🛑 BLOCK,SKIP (Too Trendy)
REMX,2026-01-08,82.45,0.6249,🛑 BLOCK,SKIP (Too Trendy)
AMZN,2026-01-08,246.29,0.6416,🛑 BLOCK,SKIP (Too Trendy)
RXRX,2026-01-08,4.7,0.6559,🛑 BLOCK,SKIP (Too Trendy)
GLD,2026-01-08,411.49,0.6577,🛑 BLOCK,SKIP (Too Trendy)
WWR,2026-01-08,0.91,0.6667,🛑 BLOCK,SKIP (Too Trendy)
GOOG,2026-01-08,326.01,0.6879,🛑 BLOCK,SKIP (Too Trendy)
QCOM,2026-01-08,181.87,0.7053,🛑 BLOCK,SKIP (Too Trendy)
LRCX,2026-01-08,200.96,0.7128,🛑 BLOCK,SKIP (Too Trendy)
SOUN,2026-01-08,11.02,0.7143,🛑 BLOCK,SKIP (Too Trendy)
UAMY,2026-01-08,7.41,0.7354,🛑 BLOCK,SKIP (Too Trendy)
IONQ,2026-01-08,50.45,0.7401,🛑 BLOCK,SKIP (Too Trendy)
ONDS,2026-01-08,14.01,0.763,🛑 BLOCK,SKIP (Too Trendy)
ON,2026-01-08,60.89,0.7712,🛑 BLOCK,SKIP (Too Trendy)
MP,2026-01-08,61.06,0.7854,🛑 BLOCK,SKIP (Too Trendy)
UUUU,2026-01-08,18.59,0.8052,🛑 BLOCK,SKIP (Too Trendy)
NLR,2026-01-08,138.21,0.8425,🛑 BLOCK,SKIP (Too Trendy)
NVTS,2026-01-08,10.06,0.8538,🛑 BLOCK,SKIP (Too Trendy)
LTBR,2026-01-08,16.11,0.8568,🛑 BLOCK,SKIP (Too Trendy)
EOSE,2026-01-08,14.02,0.8828,🛑 BLOCK,SKIP (Too Trendy)
UPST,2026-01-08,50.61,0.9005,🛑 BLOCK,SKIP (Too Trendy)
IWM,2026-01-08,258.27,0.9098,🛑 BLOCK,SKIP (Too Trendy)
GME,2026-01-08,21.42,0.9178,🛑 BLOCK,SKIP (Too Trendy)
OSCR,2026-01-08,16.9,0.9336,🛑 BLOCK,SKIP (Too Trendy)
BE,2026-01-08,121.84,0.9552,🛑 BLOCK,SKIP (Too Trendy)
SMR,2026-01-08,19.67,0.9649,🛑 BLOCK,SKIP (Too Trendy)
KTOS,2026-01-08,104.04,0.9663,🛑 BLOCK,SKIP (Too Trendy)
CELH,2026-01-08,51.28,0.9788,🛑 BLOCK,SKIP (Too Trendy)
OKLO,2026-01-08,97.6,1.0,🛑 BLOCK,SKIP (Too Trendy)
POWI,2026-01-08,40.81,1.0,🛑 BLOCK,SKIP (Too Trendy)
CCJ,2026-01-08,105.76,1.0,🛑 BLOCK,SKIP (Too Trendy)
TMDX,2026-01-08,137.57,1.0,🛑 BLOCK,SKIP (Too Trendy)
NVO,2026-01-08,57.34,1.0,🛑 BLOCK,SKIP (Too Trendy)
