Ticker,Tag,Regime,Gap%,Price,Status,Action,Sell%,Mom%,Dip%,ATR%,ER
V,,🛑 BLOCK,0.005825286960911725,329.79,🛑 BLOCK (Trendy),SKIP,52%,15%,60%,0.021454758589380323,1.0
GOOG,[HOLD],🛑 BLOCK,0.00428025846555986,337.87,🛑 BLOCK (Trendy),SKIP,52%,81%,50%,0.022537925203299173,1.0
TMDX,,🛑 BLOCK,0.0039940667039253044,143.28,🛑 BLOCK (Trendy),SKIP,50%,57%,56%,0.0477467640631927,0.6330389974235185
APP,,🛑 BLOCK,-0.003933423363603684,666.0,🛑 BLOCK (Trendy),SKIP,50%,52%,55%,0.0507745247751924,0.6105508179603202
MCD,,🛑 BLOCK,-0.0035871329907207115,308.33,🛑 BLOCK (Trendy),SKIP,51%,50%,57%,0.01440176329059699,0.610246960115034
BROS,,🛑 BLOCK,-0.0034426229508196862,60.79,🛑 BLOCK (Trendy),SKIP,51%,46%,58%,0.03748087554210815,1.0
SPOT,,🛑 BLOCK,-0.003123624500002346,532.97,🛑 BLOCK (Trendy),SKIP,50%,20%,61%,0.03187025413428017,0.7985667935416946
CELH,,🛑 BLOCK,0.0030412352745146916,52.77,🛑 BLOCK (Trendy),SKIP,51%,82%,54%,0.03517422845733915,0.783999798584138
GRAB,,🛑 BLOCK,-0.0020876747249823726,4.78,🛑 BLOCK (Trendy),SKIP,50%,22%,64%,0.03585958599417306,0.8571429787850018
NVO,,🛑 BLOCK,-0.0020120622212692774,59.52,🛑 BLOCK (Trendy),SKIP,53%,85%,53%,0.0292559780079888,0.8848162206370938
ADBE,,🛑 BLOCK,0.0020004753940266536,310.55,🛑 BLOCK (Trendy),SKIP,51%,13%,67%,0.03077252494640091,0.8103224459585129
TSLA,,🛑 BLOCK,-0.0019454655261245694,446.33,🛑 BLOCK (Trendy),SKIP,51%,45%,58%,0.03544014321550985,0.6826486857370245
BE,,🛑 BLOCK,-0.0015740449719959968,139.55,🛑 BLOCK (Trendy),SKIP,55%,87%,43%,0.07298786739962379,1.0
MRVL,,🛑 BLOCK,0.0013244665165590976,83.16,🛑 BLOCK (Trendy),SKIP,50%,40%,60%,0.04327969456870002,0.9411380023632367
QCOM,,🛑 BLOCK,0.00084703684163644,165.43,🛑 BLOCK (Trendy),SKIP,50%,32%,60%,0.030065123740563464,0.8362579361361334
KTOS,,🛑 BLOCK,0.00041763096213721685,119.77,🛑 BLOCK (Trendy),SKIP,54%,88%,35%,0.048349478622839774,0.9659368841888537
SNOW,,🛑 BLOCK,-0.00028654372139699796,209.33,🛑 BLOCK (Trendy),SKIP,51%,27%,61%,0.039835708725206545,0.913517277859068
TTD,,🛑 BLOCK,-0.0002692350515014264,37.13,🛑 BLOCK (Trendy),SKIP,50%,31%,58%,0.0344439714775978,0.8441571309494763
QBTS,,🛑 BLOCK,0.0,28.81999969482422,🛑 BLOCK (Trendy),SKIP,50%,58%,63%,0.08531654353782,0.6330753072704995
RCAT,[HOLD],🛑 BLOCK,0.0,13.0600004196167,🛑 BLOCK (Trendy),SKIP,53%,71%,45%,0.08004240257131001,0.6913580937349793
