Ticker,Tag,Gap%,Price,Status,Action,Sell%,Mom%,Dip%,ATR%
IBM,,-0.0017177630107236314,302.2,⚪ Flat,-,56%,44%,59%,0.022618223162291656
CIFR,,-0.0018126428062528103,16.52,⚪ Flat,-,51%,53%,66%,0.09473625446928818
CAVA,[HOLD],-0.002155150537494104,69.45,⚪ Flat,-,16%,87%,57%,0.03726442529832142
LUMN,,-0.002447989731600754,8.15,⚪ Flat,-,49%,50%,64%,0.056138398492997156
CCJ,,-0.0024584165183313585,105.5,⚪ Flat,-,21%,83%,52%,0.036512603480929266
SOFI,[HOLD],-0.0025252278170429274,27.65,⚪ Flat,-,55%,48%,59%,0.04993204956791915
MCD,,-0.0026547684209070233,308.06,⚪ Flat,-,55%,50%,59%,0.014632283998248147
MSFT,,-0.003367395371127106,476.5,⚪ Flat,-,70%,34%,60%,0.016619320732733284
APP,,-0.0035197463120325346,614.36,⚪ Flat,-,73%,29%,68%,0.053538646787863485
TMDX,,-0.003925327436714342,137.03,⚪ Flat,-,35%,70%,60%,0.043092097524640986
BE,,-0.004432012098827486,121.3,⚪ Flat,-,44%,61%,59%,0.08076815058323022
CELH,,-0.005460194734051321,51.0,🟡 GAP DOWN,HOLD,26%,78%,52%,0.035353737016516444
POWI,,-0.011639337351306478,40.335,🟡 GAP DOWN,HOLD,22%,80%,58%,0.03697983374141735
QCOM,,-0.017320037399010262,178.72,🟡 GAP DOWN,HOLD,44%,59%,49%,0.025185077457273466
